id_sold_rule,lhs,rhs,support,confidence,lift
1,,2,0.260648,0.260648,1
2,,5,0.258162,0.258162,1
3,,1,0.257541,0.257541,1
4,,4,0.255925,0.255925,1
5,,3,0.130718,0.130718,1
6,1,2,0.0255635,0.09926,0.38082
7,2,1,0.0255635,0.0980766,0.38082
8,4,5,0.0240305,0.0938967,0.363712
9,5,4,0.0240305,0.093083,0.363712
10,5,2,0.0214203,0.0829722,0.318331
11,2,5,0.0214203,0.0821809,0.318331
12,1,5,0.0209645,0.0814028,0.315317
13,5,1,0.0209645,0.0812069,0.315317
14,4,1,0.0205502,0.0802979,0.311787
15,1,4,0.0205502,0.0797941,0.311787
16,4,2,0.0204674,0.0799741,0.306828
17,2,4,0.0204674,0.0785249,0.306828
18,3,1,0.0115595,0.0884311,0.343367
19,3,4,0.010938,0.0836767,0.326958
20,3,2,0.0106894,0.081775,0.313737
21,3,5,0.0102337,0.0782884,0.303253
22,"1,4",5,0.00232019,0.112903,0.437335
23,"4,5",1,0.00232019,0.0965517,0.374899
24,"1,5",4,0.00232019,0.110672,0.432439
25,"1,4",2,0.00232019,0.112903,0.433164
26,"2,4",1,0.00232019,0.11336,0.440165
27,"1,2",4,0.00232019,0.0907618,0.354642
28,"1,5",2,0.00207159,0.0988142,0.37911
29,"1,2",5,0.00207159,0.0810373,0.313901
30,"2,5",1,0.00207159,0.0967118,0.375521
31,"4,5",2,0.00186444,0.0775862,0.297667
32,"2,4",5,0.00186444,0.0910931,0.352852
33,"2,5",4,0.00186444,0.0870406,0.340102
34,"1,3",5,0.00120152,0.103943,0.402626
35,"3,5",1,0.00120152,0.117409,0.455885
36,"1,5",3,0.00120152,0.0573123,0.438443
37,"1,3",2,0.00120152,0.103943,0.398786
38,"2,3",1,0.00120152,0.112403,0.436448
39,"3,4",5,0.00111866,0.102273,0.396157
40,"3,5",4,0.00111866,0.109312,0.427125
41,"3,4",1,0.000828638,0.0757576,0.294158
42,"1,3",4,0.000828638,0.0716846,0.2801
43,"3,4",2,0.000745774,0.0681818,0.261586
44,"2,3",4,0.000745774,0.0697674,0.272609
45,"3,5",2,0.000538615,0.0526316,0.201926
46,"2,3",5,0.000538615,0.0503876,0.195178
47,"1,4,5",2,0.000455751,0.196429,0.753616
48,"1,2,4",5,0.000455751,0.196429,0.760873
49,"2,4,5",1,0.000455751,0.244444,0.949149
50,"1,2,5",4,0.000455751,0.22,0.859628
51,"1,3,4",2,0.000124296,0.15,0.575489
52,"2,3,4",1,0.000124296,0.166667,0.647147
53,"1,2,3",4,0.000124296,0.103448,0.404214
54,"1,2,4",3,0.000124296,0.0535714,0.409826
55,"1,3,4",5,0.0000828638,0.1,0.387354
56,"3,4,5",1,0.0000828638,0.0740741,0.287621
57,"1,3,5",4,0.0000828638,0.0689655,0.269476
58,"3,4,5",2,0.0000828638,0.0740741,0.284192
59,"2,3,4",5,0.0000828638,0.111111,0.430393
60,"2,3,5",4,0.0000828638,0.153846,0.601138
61,"1,3,5",2,0.0000828638,0.0689655,0.264592
62,"1,2,3",5,0.0000828638,0.0689655,0.26714
63,"2,3,5",1,0.0000828638,0.153846,0.597367
64,"1,3,4,5",2,0.0000414319,0.5,1.9183
65,"1,2,3,4",5,0.0000414319,0.333333,1.29118
66,"2,3,4,5",1,0.0000414319,0.5,1.94144
67,"1,2,3,5",4,0.0000414319,0.5,1.9537
68,"1,2,4,5",3,0.0000414319,0.0909091,0.695462
